X_coordina,Y_coordina,type
1847962,5945507,1
1848006,5945525,1
1848047,5945546,1
1848088,5945577,1
1848109,5945624,1
1848112,5945671,1
1848077,5945736,1
1848036,5945767,1
1847977,5945777,1
1847922,5945784,1
1847874,5945780,1
1847831,5945811,1
1847812,5945852,1
1847867,5945876,1
1847862,5945909,1
1847814,5945926,1
1847760,5945933,1
1847710,5945932,1
1847660,5945944,1
1847622,5945977,1
1847581,5946004,1
1847576,5946065,1
1847523,5946120,1
1847505,5946175,1
1847453,5946200,1
1847424,5946291,1
1847466,5946310,1
1847510,5946326,1
1847550,5946356,1
1847600,5946353,1
1847584,5946410,1
1847571,5946459,1
1847573,5946523,1
1847594,5946573,1
1847597,5946626,1
1847605,5946679,1
1847625,5946730,1
1847674,5946735,1
1847674,5946692,1
1847716,5946668,1
1847766,5946643,1
1847813,5946616,1
1847835,5946635,1
1847845,5946687,1
1847880,5946724,1
1847921,5946760,1
1847966,5946788,1
1848001,5946824,1
1848075,5946840,1
1848116,5946800,1
1847343,5946199,1
1847248,5946197,1
1847147,5946196,1
1847044,5946197,1
1847012,5946089,1
1847025,5945997,1
1848164,5946859,1
1848215,5946863,1
1848266,5946867,1
1848318,5946873,1
1848375,5946878,1
1848414,5946917,1
1848390,5946963,1
1848363,5947013,1
1848307,5947025,1
1848263,5947047,1
1848212,5947065,1
1848182,5947021,1
1848142,5946983,1
1848123,5946930,1
1848079,5946909,1
1848016,5946887,1
1848019,5946943,1
1848110,5946753,1
1848103,5946703,1
1848105,5946651,1
1848101,5946598,1
1848100,5946549,1
1848099,5946501,1
1848065,5946469,1
1848057,5946418,1
1848052,5946370,1
1848088,5946333,1
1848140,5946291,1
1848153,5946235,1
1848150,5946191,1
1848121,5946147,1
1848079,5946092,1
1848089,5946046,1
1848095,5946008,1
1848146,5945969,1
1848199,5945944,1
1848247,5945941,1
1848289,5945942,1
1848343,5945946,1
1848388,5945965,1
1846600,5946504,1
1846579,5946507,1
1846542,5946474,1
1846435,5946602,1
1846477,5946653,1
1846476,5946726,1
1846486,5946823,1
1846447,5946882,1
1846346,5946952,1
1848763,5947481,1
1848787,5947655,1
1848803,5947755,1
1848995,5947820,1
1849098,5947977,1
1849230,5948100,1
1849257,5948226,1
1849043,5946362,1
1849061,5946314,1
1849120,5946287,1
1849164,5946269,1
1849213,5946262,1
1849265,5946255,1
1849316,5946269,1
1849359,5946293,1
1848964,5945663,1
1848985,5945763,1
1849021,5945853,1
1849061,5945946,1
1849143,5946001,1
1849168,5946109,1
1849127,5946222,1
1849358,5944366,1
1849389,5944462,1
1849395,5944566,1
1849383,5944662,1
1849343,5944759,1
1849317,5944846,1
1849271,5944932,1
1849237,5945027,1
1849158,5945097,1
1849106,5945192,1
1849026,5945232,1
1848933,5945271,1
1848869,5945339,1
1848948,5945408,1
1848928,5945533,1
1848880,5945591,1
1848850,5945619,1
1850215,5944896,1
1850158,5944917,1
1850129,5944949,1
1850097,5944990,1
1850090,5945053,1
1850033,5945040,1
1849981,5944984,1
1849928,5944994,1
1849864,5945037,1
1849811,5945048,1
1849764,5945067,1
1849715,5945099,1
1849681,5945113,1
1849633,5945131,1
1849583,5945179,1
1849551,5945220,1
1849532,5945268,1
1849518,5945320,1
1849500,5945357,1
1849505,5945410,1
1849514,5945456,1
1849514,5945499,1
1849590,5945532,1
1849572,5945582,1
1849596,5945621,1
1849614,5945680,1
1849634,5945730,1
1849670,5945772,1
1849725,5945754,1
1849588,5943499,1
1849571,5943394,1
1849491,5943332,1
1849417,5943272,1
1849377,5943217,1
1849406,5943117,1
1849423,5943016,1
1849367,5942929,1
1849367,5942825,1
1849336,5942723,1
1848317,5941676,1
1848325,5941812,1
1848410,5941884,1
1848480,5941896,1
1848564,5941876,1
1848705,5941911,1
1848726,5942052,1
1848831,5942087,1
1848912,5942010,1
1849005,5941984,1
1849107,5941981,1
1849211,5941942,1
1849309,5941877,1
1849428,5941821,1
